,code,name,ind_code,ind
238,20,동화약품,32102,의약품 제조업
46,40,KR모터스,33109,그외 기타 운송장비 제조업
111,50,경방,74701,종합 소매업
275,60,메리츠화재,116501,보험업
342,70,삼양홀딩스,116409,기타 금융업
657,80,하이트진로,31101,알코올음료 제조업
504,100,유한양행,32102,의약품 제조업
8,120,CJ대한통운,84903,도로 화물 운송업
658,140,하이트진로홀딩스,116409,기타 금융업
239,150,두산,137105,회사 본부 및 경영 컨설팅 서비스업
377,180,성창기업지주,137105,회사 본부 및 경영 컨설팅 서비스업
170,210,대림산업,64102,토목 건설업
502,220,유유제약,32102,의약품 제조업
528,230,일동홀딩스,32102,의약품 제조업
680,240,한국테크놀로지그룹,116409,기타 금융업
140,270,기아자동차,33001,자동차용 엔진 및 자동차 제조업
191,300,대유플러스,32604,통신 및 방송 장비 제조업
155,320,노루홀딩스,116409,기타 금융업
730,370,한화손해보험,116501,보험업
358,390,삼화페인트공업,32004,기타 화학제품 제조업
258,400,롯데손해보험,116501,보험업
186,430,대원강업,33003,자동차 신품 부품 제조업
556,480,조선내화,32302,"내화, 비내화 요업제품 제조업"
166,490,대동공업,32902,특수 목적용 기계 제조업
103,500,가온전선,32803,절연선 및 케이블 제조업
349,520,삼일제약,32102,의약품 제조업
789,540,흥국화재,116501,보험업
11,590,CS홀딩스,116409,기타 금융업
220,640,동아쏘시오홀딩스,116409,기타 금융업
578,650,천일고속,84902,육상 여객 운송업
95,660,SK하이닉스,32601,반도체 제조업
467,670,영풍,32402,1차 비철금속 제조업
64,680,LS네트웍스,74608,상품 종합 도매업
498,700,유수홀딩스,137105,회사 본부 및 경영 컨설팅 서비스업
738,720,현대건설,64102,토목 건설업
520,760,이화산업,74607,기타 전문 도매업
336,810,삼성화재해상보험,116501,보험업
774,850,화천기공,32902,특수 목적용 기계 제조업
104,860,강남제비스코,32004,기타 화학제품 제조업
728,880,한화,32004,기타 화학제품 제조업
304,890,보해양조,31101,알코올음료 제조업
493,910,유니온,32303,"시멘트, 석회, 플라스터 및 그 제품 제조업"
543,950,전방,31301,방적 및 가공사 제조업
674,970,한국주철관공업,32401,1차 철강 제조업
15,990,DB하이텍,32601,반도체 제조업
638,1020,페이퍼코리아,31701,"펄프, 종이 및 판지 제조업"
6,1040,CJ,116409,기타 금융업
35,1060,JW중외제약,32102,의약품 제조업
194,1070,대한방직,31302,직물직조 및 직물제품 제조업
270,1080,만호제강,32401,1차 철강 제조업
54,1120,LG상사,74601,상품 중개업
199,1130,대한제분,31006,"곡물가공품, 전분 및 전분제품 제조업"
127,1140,국보,84903,도로 화물 운송업
503,1200,유진증권,116601,금융 지원 서비스업
137,1210,금호전기,32804,전구 및 조명장치 제조업
211,1230,동국제강,32401,1차 철강 제조업
25,1250,GS글로벌,74608,상품 종합 도매업
144,1260,남광토건,64102,토목 건설업
306,1270,부국증권,116601,금융 지원 서비스업
359,1290,상상인증권,116601,금융 지원 서비스업
297,1340,백광산업,32001,기초 화학물질 제조업
331,1360,삼성제약,32102,의약품 제조업
81,1380,SG충방,33003,자동차 신품 부품 제조업
42,1390,KG케미칼,32001,기초 화학물질 제조업
624,1420,태원물산,33003,자동차 신품 부품 제조업
381,1430,세아베스틸,32401,1차 철강 제조업
196,1440,대한전선,32803,절연선 및 케이블 제조업
761,1450,현대해상,116501,보험업
5,1460,BYC,31401,봉제의복 제조업
321,1470,삼부토건,64102,토목 건설업
759,1500,현대차증권,116601,금융 지원 서비스업
92,1510,SK증권,116601,금융 지원 서비스업
224,1520,동양,32303,"시멘트, 석회, 플라스터 및 그 제품 제조업"
249,1530,디아이동일,74601,상품 중개업
555,1550,조비,32003,"비료, 농약 및 살균, 살충제 제조업"
549,1560,제일연마,32309,기타 비금속 광물제품 제조업
133,1570,금양,32001,기초 화학물질 제조업
584,1620,케이비아이동국실업,33003,자동차 신품 부품 제조업
562,1630,종근당홀딩스,32102,의약품 제조업
173,1680,대상,31007,기타 식품 제조업
411,1720,신영증권,116601,금융 지원 서비스업
87,1740,SK네트웍스,74607,기타 전문 도매업
711,1750,한양증권,116601,금융 지원 서비스업
418,1770,신화실업,32401,1차 철강 제조업
439,1780,알루코,32402,1차 비철금속 제조업
198,1790,대한제당,31006,"곡물가공품, 전분 및 전분제품 제조업"
475,1800,오리온홀딩스,116409,기타 금융업
357,1820,삼화콘덴서공업,32602,전자부품 제조업
168,1880,대림건설,64101,건물 건설업
43,1940,KISCO홀딩스,32401,1차 철강 제조업
602,2020,코오롱,116409,기타 금융업
430,2030,아세아,137105,회사 본부 및 경영 컨설팅 서비스업
148,2070,남영비비안,31401,봉제의복 제조업
107,2100,경농,32003,"비료, 농약 및 살균, 살충제 제조업"
117,2140,고려산업,31006,"곡물가공품, 전분 및 전분제품 제조업"
210,2150,도화엔지니어링,137201,"건축기술, 엔지니어링 및 관련 기술 서비스업"
340,2170,삼양통상,31501,"가죽, 가방 및 유사제품 제조업"
666,2200,한국수출포장공업,31702,"골판지, 종이 상자 및 종이용기 제조업"
217,2210,동성제약,32102,의약품 제조업
716,2220,한일철강,32401,1차 철강 제조업
119,2240,고려제강,32401,1차 철강 제조업
266,2270,롯데푸드,31005,낙농제품 및 식용빙과류 제조업
